file,thinking,method,instance_id,question,gold_sql,predicted_sql,fixed_sql,execution_match,error_message,error_category
eval_wikisql_non-thinking_zero_LMFE.json,non-thinking_zero,LMFE,wikisql_train_2082,What is the number of played when points against 645?,SELECT COUNT(Played) FROM table WHERE Pts Agst = 645,SELECT Played FROM table WHERE Pts Against = 645,SELECT col2 FROM [table_1_13018116_1] WHERE Pts Against = 645,False,"near ""Against"": syntax error",syntax error
eval_wikisql_non-thinking_zero_LMFE.json,non-thinking_zero,LMFE,wikisql_train_6140,In what parish is the sub-parish fortun? ,SELECT Parish (Prestegjeld) FROM table WHERE Sub-Parish (Sogn) = 'Fortun',SELECT Parish FROM table WHERE Sub_Parish = 'fortun',SELECT Parish FROM [table_1_178398_1] WHERE Sub_Parish = 'fortun' COLLATE NOCASE,False,no such column: Parish,bad column reference
eval_wikisql_non-thinking_zero_LMFE.json,non-thinking_zero,LMFE,wikisql_train_6698,What year was Teresa Wright nominated best supporting actress?,SELECT Year (Ceremony) FROM table WHERE Actor/Actress = 'Teresa Wright' AND Category = 'Best Supporting Actress',SELECT Year FROM table WHERE Actor_1 = 'Teresa Wright' AND Result = 'Nominated best supporting actress',SELECT Year FROM [table_1_18638067_1] WHERE Actor_1 = 'Teresa Wright' COLLATE NOCASE AND col4 = 'Nominated best supporting actress' COLLATE NOCASE,False,no such column: Year,bad column reference
eval_wikisql_non-thinking_zero_LMFE.json,non-thinking_zero,LMFE,wikisql_train_14446,How many people wrote the episode that had 7.26 million u.s. viewers?,SELECT COUNT(Written by) FROM table WHERE U.S. viewers (million) = '7.26',SELECT COUNT(*) FROM table WHERE U_S_viewers_million = '7.26',SELECT COUNT(*) FROM [table_1_28037619_2] WHERE U_S_viewers_million = '7.26' COLLATE NOCASE,False,no such column: U_S_viewers_million,bad column reference
eval_wikisql_non-thinking_zero_LMFE.json,non-thinking_zero,LMFE,wikisql_train_15247,When 318676 is the population of 2010 and 1st class is the income classification what is the area in kilometers squared?,SELECT Area (kmÂ²) FROM table WHERE Income Classification = '1st Class' AND Population (2010) = 318676,SELECT Area FROM table WHERE City = '318676' AND Income Classification = '1st class',SELECT Area FROM [table_1_29289372_1] WHERE City = '318676' COLLATE NOCASE AND col4 = '1st class' COLLATE NOCASE,False,no such column: Area,bad column reference
eval_wikisql_non-thinking_zero_LMFE.json,non-thinking_zero,LMFE,wikisql_train_33118,"What is the smallest area that has a Population Density of 3,216 and a Population larger than 16,650,000?","SELECT MIN(Area (kmÂ²)) FROM table WHERE Population Density (People/kmÂ²) = '3,216' AND Population > '16,650,000'",SELECT * FROM table WHERE Population > 16650000 AND Population Density = 3216,SELECT * FROM [table_2_16478687_2] WHERE col3 > 16650000 AND col3 Density = 3216,False,"near ""Density"": syntax error",syntax error
eval_wikisql_non-thinking_zero_LMFE.json,non-thinking_zero,LMFE,wikisql_train_38618,"What is the most wins with a rank of 5 and less than $1,537,571 in earnings?","SELECT MAX(Wins) FROM table WHERE Rank = 5 AND Earnings ( $ ) > '1,537,571'",SELECT * FROM table WHERE Rank = 5 AND Earnings < 1537571,SELECT * FROM [table_2_11602885_3] WHERE col0 = 5 AND Earnings < 1537571,False,no such column: Earnings,bad column reference
eval_wikisql_non-thinking_zero_LMFE.json,non-thinking_zero,LMFE,wikisql_train_38698,Where is the player with a pick smaller than 12 and a college of UV from?,SELECT Country of origin* FROM table WHERE Pick < 12 AND College = 'uv',SELECT Country of origin AS Country FROM table WHERE Pick < 12 AND College = 'UV',SELECT Country of origin AS Country FROM [table_2_11779131_3] WHERE col0 < 12 AND col4 = 'UV' COLLATE NOCASE,False,"near ""origin"": syntax error",syntax error
eval_wikisql_non-thinking_zero_LMFE.json,non-thinking_zero,LMFE,wikisql_train_46925,What's the lowest number of total passengers (millions) for an annual entry/exit of 36.609?,SELECT MIN(Total Passengers (millions) 2011â€“12) FROM table WHERE Annual entry/exit (millions) 2011â€“12 = 36.609,SELECT MIN(Total Passengers) FROM table WHERE Annual entry or exit = 36.609,SELECT MIN(Total Passengers) FROM [table_2_18118221_1] WHERE Annual entry or exit = 36.609,False,"near ""Passengers"": syntax error",syntax error
eval_wikisql_non-thinking_zero_LMFE.json,non-thinking_zero,LMFE,wikisql_train_48598,What team was in 1st plate in a year later than 1956?,SELECT 1st Place Team FROM table WHERE Year > 1956,SELECT YEAR FROM table WHERE YEAR = 1956 AND YEAR = 1957,SELECT YEAR FROM [table_2_18618672_2] WHERE YEAR = 1956 AND YEAR = 1957,False,no such column: YEAR,bad column reference
eval_wikisql_non-thinking_zero_LMFE.json,non-thinking_zero,LMFE,wikisql_train_49729,Which Fencing Victories (pts) has a Total of 5640?,SELECT Fencing Victories (pts) FROM table WHERE Total = 5640,SELECT Fencing Victories PTS FROM table WHERE Total = 5640,SELECT Fencing Victories PTS FROM [table_2_18830959_2] WHERE col6 = 5640,False,"near ""PTS"": syntax error",syntax error
eval_wikisql_non-thinking_zero_LMFE.json,non-thinking_zero,LMFE,wikisql_train_52810,"Which Venue has an amount of Tickets Sold/ Available of 4,700 / 4,700 (100%)?","SELECT Venue FROM table WHERE Tickets Sold / Available = '4,700 / 4,700 (100%)'","SELECT Venue FROM table WHERE Tickets Sold Available = '4,700 / 4,700 (100%)'","SELECT col0 FROM [table_2_12557476_2] WHERE Tickets Sold Available = '4,700 / 4,700 (100%)' COLLATE NOCASE",False,"near ""Sold"": syntax error",syntax error
eval_wikisql_non-thinking_zero_none.json,non-thinking_zero,none,wikisql_train_2082,What is the number of played when points against 645?,SELECT COUNT(Played) FROM table WHERE Pts Agst = 645,SELECT Played FROM table WHERE Pts Against = 645,SELECT col2 FROM [table_1_13018116_1] WHERE Pts Against = 645,False,"near ""Against"": syntax error",syntax error
eval_wikisql_non-thinking_zero_none.json,non-thinking_zero,none,wikisql_train_6140,In what parish is the sub-parish fortun? ,SELECT Parish (Prestegjeld) FROM table WHERE Sub-Parish (Sogn) = 'Fortun',"SELECT Parish, Sub-Parish, Church Name, Year Built, Location of the Church FROM table WHERE Sub-Parish = 'fortun'","SELECT Parish, Sub-Parish, col2, col3, col4 FROM [table_1_178398_1] WHERE Sub-Parish = 'fortun' COLLATE NOCASE",False,no such column: Parish,bad column reference
